Name,Constellation,Bayern Designation, Designation, Approval Date

Acamar,Eridanus,Eridani A,HR 897,2016-07-20

Achernar,Eridanus,Eridani A,HR 472,2016-06-30

Achird,Cassiopeia,Cassiopeiae A,HR 219,2017-09-05

Acrab,Scorpius,Scorpii Aa,HR 5984,2016-08-21

Acrux,Crux,Crucis Aa,HR 4730,2016-07-20

Acubens,Cancer,Cancri,HR 3572,2016-07-20

Adhafera,Leo,Leonis,HR 4031,2016-07-20
